match_id,seleccion,equipo,accurate_passesaccurate_passes,all,duelsduels,expected_goals_xgexpected_goals_xg,ratingrating,successful_dribblessuccessful_dribbles,total_shotstotal_shots,touches_in_opposition_boxtouches_in_opposition_box,touchestouches
487OVDPM,inglaterra,local,41/44 (93%),O'Reilly N.Fullback,4,0.04,7.0,-,2,3,64
487OVDPM,inglaterra,local,36/39 (92%),Henderson J.Midfielder,1,-,6.9,-,-,-,40
487OVDPM,inglaterra,local,31/39 (79%),Pickford J.Goalkeeper,-,-,6.9,-,-,-,44
487OVDPM,inglaterra,local,24/29 (83%),Bellingham J.Midfielder,5,0.05,6.8,1/2 (50%),1,1,38
487OVDPM,inglaterra,local,9/13 (69%),Kane H.Striker,4,0.09,6.8,0/1 (0%),1,3,20
487OVDPM,inglaterra,local,13/19 (68%),Rashford M.Winger,5,0.12,6.8,0/6 (0%),4,5,35
487OVDPM,inglaterra,local,35/36 (97%),Rice D.Midfielder,-,-,6.8,-,-,-,45
487OVDPM,inglaterra,local,4/5 (80%),Grujic M.Midfielder,2,-,6.5,1/1 (100%),-,-,9
487OVDPM,inglaterra,local,23/27 (85%),Milenkovic N.Centre back,3,-,6.5,-,-,-,36
487OVDPM,inglaterra,local,13/16 (81%),Mimovic O.Fullback,6,-,6.5,0/1 (0%),-,-,35
487OVDPM,inglaterra,local,1/2 (50%),Radonjic N.Forward,2,-,6.5,0/1 (0%),-,1,6
487OVDPM,inglaterra,local,34/47 (72%),Rajkovic P.Goalkeeper,1,-,6.5,-,-,-,62
487OVDPM,inglaterra,local,16/19 (84%),Rogers M.Attacking midfielder,8,0.02,6.5,0/2 (0%),1,4,32
487OVDPM,inglaterra,local,4/5 (80%),Jovic L.Forward,-,-,6.3,-,-,-,5
487OVDPM,inglaterra,local,13/18 (72%),Kostic F.Winger,9,0.01,6.3,-,1,3,28
487OVDPM,inglaterra,local,42/51 (82%),Pavlovic S.Centre back,7,-,6.3,1/1 (100%),-,-,70
487OVDPM,inglaterra,local,4/4 (100%),Samardzic L.Midfielder,3,-,6.3,1/1 (100%),-,-,7
487OVDPM,inglaterra,local,9/15 (60%),Terzic A.Fullback,5,0.03,6.3,-,2,-,37
487OVDPM,inglaterra,local,10/13 (77%),Zivkovic A.Winger,6,-,6.3,-,-,-,28
487OVDPM,inglaterra,local,8/12 (67%),Stankovic A.Midfielder,2,-,6.2,0/1 (0%),-,-,16
487OVDPM,inglaterra,local,8/12 (67%),Vlahovic D.Striker,16,0.34,6.2,0/1 (0%),4,6,28
487OVDPM,inglaterra,local,17/19 (89%),Gudelj N.Midfielder,4,-,6.0,-,-,1,26
487OVDPM,inglaterra,local,17/18 (94%),Lukic S.Midfielder,9,-,5.8,-,-,1,30
487OVDPM,inglaterra,local,5/6 (83%),Ilic I.Attacking midfielder,1,-,5.7,-,-,-,9
